,R1,R2,smiles,ee.,Fixed,temperature[celcius],Fix_comment,Fix_R2,Fix_rmse,Reference2,er.,temperature,Ireru,Reductant,Comment,612,Ref
23,,,c12ccccc1CCC2(=O),98,TRUE,-20,Middle,0.666,0.638,https://pubs.acs.org/doi/pdf/10.1021/jo00062a037,99,253,FALSE,BMS,S,,TRUE
24,,,C(=O)(c1ccc(Br)cc1)CCC(=C(C)O2)N=C2c1ccccc1,94,TRUE,22.5,Middle,0.677,0.626,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=2C73BF558122C5097603C2D3BF22F1DF2531E34D40F15A055FB9CF4BA68EDEA82606BAC68030A7CE14323F41E40F801C&originRegion=us-east-1&originCreation=20230324093016,97,295.5,FALSE,BMS,R,,TRUE
25,,,C1C=C(Br)C(=O)CC1,96,TRUE,-15,Middle,0.676,0.626,,98,258,FALSE,BMS,,,FALSE
26,,,O=C2/C(CCC2)=C\c1ccccc1,96,TRUE,-20,Small,0.697,0.606,https://reader.elsevier.com/reader/sd/pii/S0957416697000347?token=20568C3E6CE728A5E74A14C37B2A7373408E1267104993FA9742E59F9023125FAFEE1049F68004339F87160829484BBC&originRegion=us-east-1&originCreation=20230324095500,98,253,FALSE,BMS,S,,TRUE
27,,,O=C(C3=CCCC3)CC1=C(OC)C(C)=C2C(C(OC2)=O)=C1[Si](C(C)(C)C)(C)C,94.5,TRUE,-30,Large,0.631,0.668,https://pubs.acs.org/doi/pdf/10.1021/jo951883t,97.25,243,FALSE,BMS,R,,TRUE
28,,,c1ccccc1C#CC(=O)C,-71,TRUE,-30,Middle,0.675,0.639,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,14.5,243,FALSE,BMS,2equiv,,TRUE
29,,,O=C(C#CC1=CC=CC=C1)CC,-88,TRUE,-30,Small,0.703,0.603,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,6,243,FALSE,BMS,2equiv,,TRUE
30,,,O=C(C#CC1=CC=CC=C1)CCCCCC,-88,TRUE,-30,Middle,0.697,0.609,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,6,243,FALSE,BMS,2equiv,,TRUE
31,,,O=C(C#CC1=CC=CC=C1)C(C)C,-94,TRUE,-30,Middle,0.683,0.62,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,3,243,FALSE,BMS,2equiv,,TRUE
32,,,O=C(C#CC1=CC=CC=C1)C2CCCCC2,-96,TRUE,-30,Large,0.531,0.753,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,2,243,FALSE,BMS,2equiv,,TRUE
33,,,O=C(C#C)CCCCCCC,-95,TRUE,-30,Large,0.553,0.736,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,2.5,243,FALSE,BMS,2equiv,,TRUE
34,,,O=C(C#C)C1CCCCC1,-98,TRUE,30,Large,0.199,1.002,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,1,303,FALSE,BMS,2equiv,,TRUE
35,,,O=C(CC1=CC=C(OC)C(OC)=C1)CCC#N,82,TRUE,-15,Large,0.666,0.641,"O.W.Gooding,R.P.Bansal,Synth.Commun.1995,25,1155±1166.",91,258,FALSE,BMS,,,FALSE
36,,,O=C1C(C2=CC=CC=C2)(C3=CC=CC=C3)CCC1,92,TRUE,40,Small,0.688,0.614,https://pubs.acs.org/doi/pdf/10.1021/jo00115a042,96,313,TRUE,BMS,,,TRUE
37,,,O=C1C2=CC(Cl)=CN=C2CCC1,40,TRUE,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,70,295.5,FALSE,BMS,,元データがおかしい,TRUE
38,,,C(=O)(c1ccc(Cl)c(Cl)c1)CNCC,90,TRUE,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,95,295.5,TRUE,BMS,,判別ミス,TRUE
39,,,O=C1c2ccccc2OCC1,96,TRUE,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,98,295.5,TRUE,BMS,,判別ミス,TRUE
40,,,O=C1c2ccccc2SCC1,92,TRUE,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,96,295.5,TRUE,BMS,,判別ミス,TRUE
41,,,C(=O)(c1ccc(C#N)cc1)C,90,TRUE,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,95,295.5,TRUE,BMS,,,TRUE
42,,,C(=O)(CCCC#N)C,74,TRUE,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,87,295.5,TRUE,BMS,,,TRUE
43,,,CCCCC(C)=O,66,TRUE,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,83,295.5,TRUE,BMS,,,TRUE
44,,,O=C(c1ccccc1)CCCl,94,TRUE,0,,,,https://reader.elsevier.com/reader/sd/pii/S0040403901937438?token=B523E9026C19E41112CDDAA4F26D7CEDB1B0F372CD749432173B94B15E996B688AFB82E9CD8681A0BD768C06CBD94D79&originRegion=us-east-1&originCreation=20230418053820,97,273,TRUE,BTHF,,,TRUE
45,,,C(=O)(c1ccc(OC)c(OC)c1)CCC(=O)OC,95,TRUE,0,,,,,97.5,273,TRUE,BTHF,,,FALSE
46,,,O=C(c2cc(OCC(C=C3)=Nc4c3ccc(Cl)c4)ccc2)CCc1c(C(OC)=O)cccc1,90,TRUE,0,,,,https://pubs.acs.org/doi/pdf/10.1021/jo952103j,95,273,TRUE,BMS,,,TRUE
47,,,COc1cc(C(C)=O)ccc1OC(C)=O,88,TRUE,-20,,,,https://pdf.sciencedirectassets.com/271373/1-s2.0-S0040403905X80078/1-s2.0-004040399501975N/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHEaCXVzLWVhc3QtMSJHMEUCIHCnlnYVMN40FdC5JvdAFlh9NNSH%2BBvdbN0Rmi03EEsuAiEAjrtm8xqTh138AONcVXsdlY0aqbaME0sgwKr0gkyk6S4qswUIaRAFGgwwNTkwMDM1NDY4NjUiDNqWGRK%2BVG4PiLFzliqQBVug%2B2U8sLpDm7XShx%2FWFdA381iozSf%2BykMFVXzOgNbqMqr8LOyhfHOd62oEPNhLSRj58yoWEowH9xG5dj%2BvRP7SegsJxmhHNU6NLvqgO0%2FsNFOKl3sKFxtkwfznidDDp2kN0e5s9DBvHzq42cWyBahdVhOyLFEuw6VqKUunYAwoRU5lXXs3Fwzlg00qxErVsUawbSIJU8dbKJlEDMoHhK0z6hZai64LQN54sJdtzzm%2FWfwk2T%2FJ%2BnM3Rd2EV0XHfPAApmMjO0BzFqkFLJ3OReTTB28B6246kqmJ3S3DRrIDpEPgoJbKuTLlmtPYk92AFbzpx8Q9LuPbvIjNDMl0MFWPG3B7Ky8BRRK%2FyUHH0t9R1M7VQPZOZRaPYT8oHMTGAQbsgpNvMFne4pRKh%2FGeNOXhNY6A76fEBCRT9v3y%2FQ8zWcr7O00sByfISRlzxWKhewfX6bIdhsap9uUjHhp%2BWHw1yPAi3yeO6h1X5N%2BhDYrBO3q9gDLGbTDHtjqZZ%2BKoxZcAGUknZPI%2FdzIeMW%2Frm4IKKrZA2onXO8CMeUVlXNn3o9RJVrsuCFfnqZ6Inb4UcL6nRDzGX47awHxXhtFI8eiIQi53iUGrP98MeL314EkrBaEf6mXAx2%2FLS9laBT9Dz5qsVWmPXlcowARUDJSCBQx5PFbyYcr1o4RtZcEEjZFPOoqvJ6CmQt23jZUihp2uU5gpBqmxS6frXQYMKDlMPNZvmCgClqf4k7fr75evBDkNyS4tN4zDTWVblZx%2FzXP%2BndLuX8JAtefmM1%2FRMrz6BC7uE7KB34UcEqOWgmk5TtsNwOKG2CxHEFuY%2BX7H%2BbFPBiK%2FVQL2UV6NBj4ctBXxOiABqWMib6VBtvH3uwL281DMMPnl%2FKEGOrEBozkSF7IpAC1rYCQRx4a5K%2BVQNTSQmDcBHYdOYjO%2BBLwmIR%2BrrVlPDx4gWY8tFZlX%2FBxIyH7%2FeeJ43n%2B4%2BCL%2FYv9%2BRy2kc1ed1XbnokVnsNN%2FgXipv5anFUA8vPBiBHBBwGYLdLuHaUHQt5J%2BCvmX4f0wDNXg2kxRMPYuT%2FEB6vtXDUqTC3FBBbdm1kN9yb%2Fk19XrJLJ0NJHb%2BJ4zjb3fVyDyMc%2B6a9AC8Uz%2FjV4%2BS2dl&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230419T011813Z&X-Amz-SignedHeaders=host&X-Amz-Expires=299&X-Amz-Credential=ASIAQ3PHCVTYW2LUMNST%2F20230419%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1d2ec273c99481d65b25a1c738c57dbd440eaa69d4e1581d61e4826d85d262f1&hash=755473d4a647266bf66c1ad5dfd15cec77622fa7ff3ac430d148ddd9483f27f0&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=004040399501975N&tid=spdf-1897186e-c25c-49e2-9274-7ea28e76df6b&sid=f622f7ad4262d646ea9a9f14480eb4a668e1gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1016520c07535a03085754&rr=7ba14ff84de48099&cc=jp,94,253,TRUE,BMS,,,TRUE
48,,,C=CC1=C(C)C(=O)CCC1(C)C,90,TRUE,35,,,,https://reader.elsevier.com/reader/sd/pii/S004040390082359X?token=8F25777D4533B764414FFFE1273F951734D5F8D787661EE889EE190843F4D0410E315B1616B1012EBD938FD15AF93C12&originRegion=us-east-1&originCreation=20230419015138,95,308,TRUE,BTHF,,,TRUE
49,,,C=C(OC(=O)OCC)C1=C(C)C(=O)CCC1(C)C,93,TRUE,35,,,,https://reader.elsevier.com/reader/sd/pii/0040403995023666?token=A9384A526E489E0F275D080E9AA64FCC72AE4EABB3631E4C4B516CF5CFF50E1E5DA14E383AFF4BFD824958511C9849F6&originRegion=us-east-1&originCreation=20230419020612,96.5,308,TRUE,BTHF,,,TRUE
50,,,CC1=CC(C)(C)CCC1=O,95.8,TRUE,2.5,,,,https://reader.elsevier.com/reader/sd/pii/S0040402001805433?token=D9E6BC6904D9F107624296081C68B3CB818C68981CFE6082E31C2FD932563CAD8A2F05EB82776BB1FD198CD9E23FE053&originRegion=us-east-1&originCreation=20230419024004,97.9,275.5,TRUE,BTHF,,,TRUE
