,R1,R2,smiles,ee.,temperature[celcius],Fix_comment,Fix_R2,Fix_rmse,Reference2,er.,temperature,Ireru,Reductant,Comment,612,Ref
17,,,CC(=O)c1ccc(F)cc1,97,-20,,,,https://pubs.acs.org/doi/pdf/10.1021/jo00062a037,98.5,253,FALSE,BMS,S,,TRUE
18,,,CC(=O)c1ccc(OC)cc1,99,-20,,,,https://pubs.acs.org/doi/pdf/10.1021/jo00062a037,99.5,253,FALSE,BMS,S,,TRUE
19,,,CC(=O)c1c(OC)c(OC)ccc1,97,23,Check,,,https://reader.elsevier.com/reader/sd/pii/0040403996011227?token=1635A4B714A425A830E0ECE8CB9CA14F6763DBA4C9D90E3667DFB1705B7943D0D52609C710573D763BEC542FC0B709E9&originRegion=us-east-1&originCreation=20230324092322,98.5,296,FALSE,BMS,S,,TRUE
20,,,CC(=O)c1c(OC)cccc1,94,23,Check,,,https://reader.elsevier.com/reader/sd/pii/0040403996011227?token=1635A4B714A425A830E0ECE8CB9CA14F6763DBA4C9D90E3667DFB1705B7943D0D52609C710573D763BEC542FC0B709E9&originRegion=us-east-1&originCreation=20230324092322,97,296,FALSE,BMS,S,,TRUE
21,,,O=C1CCCCC2=CC=CC=C21,99,-20,Large,0.621,0.686,https://pubs.acs.org/doi/pdf/10.1021/jo00062a037,99.5,253,FALSE,BMS,S,,TRUE
22,,,CC(=O)C1=CC=CS1,94,22.5,Small,0.697,0.606,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=2C73BF558122C5097603C2D3BF22F1DF2531E34D40F15A055FB9CF4BA68EDEA82606BAC68030A7CE14323F41E40F801C&originRegion=us-east-1&originCreation=20230324093016,97,295.5,FALSE,BMS,R,,TRUE
23,,,O=C1CCC2=CC=CC=C12,98,-20,Middle,0.666,0.638,https://pubs.acs.org/doi/pdf/10.1021/jo00062a037,99,253,FALSE,BMS,S,,TRUE
24,,,c1ccccc1C2=NC(=C(C)O2)CCC(=O)c1ccc(Br)cc1,94,22.5,Middle,0.677,0.626,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=2C73BF558122C5097603C2D3BF22F1DF2531E34D40F15A055FB9CF4BA68EDEA82606BAC68030A7CE14323F41E40F801C&originRegion=us-east-1&originCreation=20230324093016,97,295.5,FALSE,BMS,R,,TRUE
25,,,O=C1CCCC=C1(Br),96,-15,Middle,0.676,0.626,,98,258,FALSE,BMS,,,FALSE
26,,,O=C1CCC/C1=C/c2ccccc2,96,-20,Small,0.697,0.606,https://reader.elsevier.com/reader/sd/pii/S0957416697000347?token=20568C3E6CE728A5E74A14C37B2A7373408E1267104993FA9742E59F9023125FAFEE1049F68004339F87160829484BBC&originRegion=us-east-1&originCreation=20230324095500,98,253,FALSE,BMS,S,,TRUE
27,,,O=C(CC1=C(OC)C(C)=C2C(C(OC2)=O)=C1[Si](C(C)(C)C)(C)C)C3=CCCC3,94.5,-30,Large,0.631,0.668,https://pubs.acs.org/doi/pdf/10.1021/jo951883t,97.25,243,FALSE,BMS,R,,TRUE
28,,,O=C(C#CC1=CC=CC=C1)C,71,-30,Middle,0.675,0.639,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,85.5,243,FALSE,BMS,2equiv,,TRUE
29,,,O=C(C#CC1=CC=CC=C1)CC,88,-30,Small,0.703,0.603,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,94,243,FALSE,BMS,2equiv,,TRUE
30,,,O=C(C#CC1=CC=CC=C1)CCCCCC,88,-30,Middle,0.697,0.609,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,94,243,FALSE,BMS,2equiv,,TRUE
31,,,O=C(C#CC1=CC=CC=C1)C(C)C,94,-30,Middle,0.683,0.62,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,97,243,FALSE,BMS,2equiv,,TRUE
32,,,O=C(C#CC1=CC=CC=C1)C2CCCCC2,96,-30,Large,0.531,0.753,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,98,243,FALSE,BMS,2equiv,,TRUE
33,,,O=C(C#C)CCCCCCC,95,-30,Large,0.553,0.736,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,97.5,243,FALSE,BMS,2equiv,,TRUE
34,,,O=C(C#C)C1CCCCC1,98,30,Large,0.199,1.002,https://pubs.acs.org/doi/pdf/10.1021/jo951712o,99,303,FALSE,BMS,2equiv,,TRUE
35,,,O=C(CCC#N)CC1=CC=C(OC)C(OC)=C1,82,-15,Large,0.666,0.641,"O.W.Gooding,R.P.Bansal,Synth.Commun.1995,25,1155±1166.",91,258,FALSE,BMS,,,FALSE
36,,,O=C1CCCC1(C2=CC=CC=C2)C3=CC=CC=C3,92,40,Small,0.688,0.614,https://pubs.acs.org/doi/pdf/10.1021/jo00115a042,96,313,TRUE,BMS,,,TRUE
37,,,O=C1CCCc2ncc(Cl)cc12,40,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,70,295.5,FALSE,BMS,,元データがおかしい,TRUE
38,,,CNCCC(=O)c1ccc(Cl)c(Cl)c1,90,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,95,295.5,TRUE,BMS,,判別ミス,TRUE
39,,,O=C1CCOc2ccccc12,96,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,98,295.5,TRUE,BMS,,判別ミス,TRUE
40,,,O=C1CCSc2ccccc12,92,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,96,295.5,TRUE,BMS,,判別ミス,TRUE
41,,,CC(=O)c1ccc(C#N)cc1,90,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,95,295.5,TRUE,BMS,,,TRUE
42,,,CC(=O)CCCC#N,74,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,87,295.5,TRUE,BMS,,,TRUE
43,,,CCCCC(C)=O,-66,22.5,,,,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=A0AA62D0193E170FD8A2414C3981A707C4A6354802FAD042313C736B5300B02529AA3CBDD38FF68B69B6619EB6B9DFFC&originRegion=us-east-1&originCreation=20230418015455,17,295.5,TRUE,BMS,,,TRUE
44,,,O=C(CCCl)c1ccccc1,94,0,,,,https://reader.elsevier.com/reader/sd/pii/S0040403901937438?token=B523E9026C19E41112CDDAA4F26D7CEDB1B0F372CD749432173B94B15E996B688AFB82E9CD8681A0BD768C06CBD94D79&originRegion=us-east-1&originCreation=20230418053820,97,273,TRUE,BTHF,,,TRUE
45,,,COC(=O)CCC(=O)c1ccc(OC)c(OC)c1,95,0,,,,,97.5,273,TRUE,BTHF,,,FALSE
46,,,COC(=O)c1ccccc1CCC(=O)c4cccc(OCc3ccc2ccc(Cl)cc2n3)c4,90,0,,,,https://pubs.acs.org/doi/pdf/10.1021/jo952103j,95,273,TRUE,BMS,,,TRUE
47,,,COc1cc(C(C)=O)ccc1OC(C)=O,-88,-20,,,,https://pdf.sciencedirectassets.com/271373/1-s2.0-S0040403905X80078/1-s2.0-004040399501975N/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHEaCXVzLWVhc3QtMSJHMEUCIHCnlnYVMN40FdC5JvdAFlh9NNSH%2BBvdbN0Rmi03EEsuAiEAjrtm8xqTh138AONcVXsdlY0aqbaME0sgwKr0gkyk6S4qswUIaRAFGgwwNTkwMDM1NDY4NjUiDNqWGRK%2BVG4PiLFzliqQBVug%2B2U8sLpDm7XShx%2FWFdA381iozSf%2BykMFVXzOgNbqMqr8LOyhfHOd62oEPNhLSRj58yoWEowH9xG5dj%2BvRP7SegsJxmhHNU6NLvqgO0%2FsNFOKl3sKFxtkwfznidDDp2kN0e5s9DBvHzq42cWyBahdVhOyLFEuw6VqKUunYAwoRU5lXXs3Fwzlg00qxErVsUawbSIJU8dbKJlEDMoHhK0z6hZai64LQN54sJdtzzm%2FWfwk2T%2FJ%2BnM3Rd2EV0XHfPAApmMjO0BzFqkFLJ3OReTTB28B6246kqmJ3S3DRrIDpEPgoJbKuTLlmtPYk92AFbzpx8Q9LuPbvIjNDMl0MFWPG3B7Ky8BRRK%2FyUHH0t9R1M7VQPZOZRaPYT8oHMTGAQbsgpNvMFne4pRKh%2FGeNOXhNY6A76fEBCRT9v3y%2FQ8zWcr7O00sByfISRlzxWKhewfX6bIdhsap9uUjHhp%2BWHw1yPAi3yeO6h1X5N%2BhDYrBO3q9gDLGbTDHtjqZZ%2BKoxZcAGUknZPI%2FdzIeMW%2Frm4IKKrZA2onXO8CMeUVlXNn3o9RJVrsuCFfnqZ6Inb4UcL6nRDzGX47awHxXhtFI8eiIQi53iUGrP98MeL314EkrBaEf6mXAx2%2FLS9laBT9Dz5qsVWmPXlcowARUDJSCBQx5PFbyYcr1o4RtZcEEjZFPOoqvJ6CmQt23jZUihp2uU5gpBqmxS6frXQYMKDlMPNZvmCgClqf4k7fr75evBDkNyS4tN4zDTWVblZx%2FzXP%2BndLuX8JAtefmM1%2FRMrz6BC7uE7KB34UcEqOWgmk5TtsNwOKG2CxHEFuY%2BX7H%2BbFPBiK%2FVQL2UV6NBj4ctBXxOiABqWMib6VBtvH3uwL281DMMPnl%2FKEGOrEBozkSF7IpAC1rYCQRx4a5K%2BVQNTSQmDcBHYdOYjO%2BBLwmIR%2BrrVlPDx4gWY8tFZlX%2FBxIyH7%2FeeJ43n%2B4%2BCL%2FYv9%2BRy2kc1ed1XbnokVnsNN%2FgXipv5anFUA8vPBiBHBBwGYLdLuHaUHQt5J%2BCvmX4f0wDNXg2kxRMPYuT%2FEB6vtXDUqTC3FBBbdm1kN9yb%2Fk19XrJLJ0NJHb%2BJ4zjb3fVyDyMc%2B6a9AC8Uz%2FjV4%2BS2dl&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230419T011813Z&X-Amz-SignedHeaders=host&X-Amz-Expires=299&X-Amz-Credential=ASIAQ3PHCVTYW2LUMNST%2F20230419%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1d2ec273c99481d65b25a1c738c57dbd440eaa69d4e1581d61e4826d85d262f1&hash=755473d4a647266bf66c1ad5dfd15cec77622fa7ff3ac430d148ddd9483f27f0&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=004040399501975N&tid=spdf-1897186e-c25c-49e2-9274-7ea28e76df6b&sid=f622f7ad4262d646ea9a9f14480eb4a668e1gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1016520c07535a03085754&rr=7ba14ff84de48099&cc=jp,6,253,TRUE,BMS,,,TRUE
48,,,C=CC1=C(C)C(=O)CCC1(C)C,-90,35,,,,https://reader.elsevier.com/reader/sd/pii/S004040390082359X?token=8F25777D4533B764414FFFE1273F951734D5F8D787661EE889EE190843F4D0410E315B1616B1012EBD938FD15AF93C12&originRegion=us-east-1&originCreation=20230419015138,5,308,TRUE,BTHF,,,TRUE
49,,,C=C(OC(=O)OCC)C1=C(C)C(=O)CCC1(C)C,-93,35,,,,https://reader.elsevier.com/reader/sd/pii/0040403995023666?token=A9384A526E489E0F275D080E9AA64FCC72AE4EABB3631E4C4B516CF5CFF50E1E5DA14E383AFF4BFD824958511C9849F6&originRegion=us-east-1&originCreation=20230419020612,3.5,308,TRUE,BTHF,,,TRUE
50,,,CC1=CC(C)(C)CCC1=O,-95.8,2.5,,,,https://reader.elsevier.com/reader/sd/pii/S0040402001805433?token=D9E6BC6904D9F107624296081C68B3CB818C68981CFE6082E31C2FD932563CAD8A2F05EB82776BB1FD198CD9E23FE053&originRegion=us-east-1&originCreation=20230419024004,2.1,275.5,TRUE,BTHF,,,TRUE
